,1,10,20,30,40,50,60,70,80,90,100
0.335,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.34,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.34500000000000003,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.35000000000000003,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.355,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.36,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.365,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.37,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.375,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.38,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.385,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.39,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.395,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.4,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.405,"(14.312617702448211, 0.025041186161449753)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)","(14.500941619585687, 0.02892866209697893)"
0.41000000000000003,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.41500000000000004,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.42,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.425,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.43,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.435,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.44,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.445,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.45,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
0.455,"(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)","(14.312617702448211, 0.025041186161449753)"
